Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	mass	EQ	Fossil	Social
Artiodactyla	Ruminanta	Leptomerycidae	Leptomeryx	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	22	2.25	1.06	Yes	N/A
Artiodactyla	Suiformes	Entelodontidae	Archaeotherium	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	190	230	0.27	Yes	N/A
Artiodactyla	Tylopoda	Cainotheriidae	Cainotherium	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	5.2	0.46	0.84	Yes	N/A
Artiodactyla	Tylopoda	Merycoidodontidae	Bathygenys	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	14	1.09	1.17	Yes	N/A
Artiodactyla	Tylopoda	Merycoidodontidae	Merycoidodon	-33.9	-33.9	0.193	1.744	0.053	0.267	0.932	0.082	0.17	1.775	0.108	0.227	1.02	-0.361	0.21	1.802	-0.081	0.205	0.902	-0.739	0.191	1.776	0.037	0.23	0.823	-1.654	0.17	1.784	0.242	0.249	0.745	-2.427	0.237	1.778	3.365	0.213	0.717	-3.486	55	16.76	0.58	Yes	N/A
Artiodactyla	Ruminanta	Tragulidae	Hyemoschus aquaticus	-35.2	-35.197	0.263	1.622	0.128	0.249	0.772	-0.015	0.225	1.848	-0.101	0.24	0.783	-0.01	0.081	1.809	0.293	0.204	0.773	0.568	0.055	1.86	0.147	0.15	0.857	2.018	0.059	1.87	-0.315	0.114	0.918	2.161	0.074	1.847	2.703	0.089	0.99	4.409	24.95	56.23	0.1	No	Solitary
Artiodactyla	Ruminanta	Hypertragulidae	Hypertragulus	-38	-37.986	0.306	1.229	0.13	0.339	0.841	-0.023	0.126	1.49	0.099	0.297	0.674	-0.206	0.126	1.5	0.4	0.303	0.629	-0.595	0.123	1.535	-0.077	0.301	0.561	0.418	0.099	1.542	-0.679	0.16	0.568	-0.429	0.121	1.507	6.278	0.196	0.513	14.574	8.5	1.03	0.74	Yes	N/A
Artiodactyla	Ruminanta	Agriochoeridae	Agriochoerus	-42	-41.9743	0.308	0.897	0.089	0.346	0.738	0.015	0.344	0.988	0.064	0.4	0.727	0.014	0.323	1.029	-1.552	0.45	0.783	-2.287	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	76	38.24	0.42	Yes	N/A
Artiodactyla	Ruminanta	Agriochoeridae	Protoreodon	-42	-41.9743	0.308	0.897	0.089	0.346	0.738	0.015	0.344	0.988	0.064	0.4	0.727	0.014	0.323	1.029	-1.552	0.45	0.783	-2.287	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	0.078	0.675	1.097	0.24	0.3	3.39	24	7.57	0.46	Yes	N/A
Artiodactyla	Tylopoda	Dichobunidae	Homacodon	-46.2	-46.1707	0.334	0.218	0.167	0.328	0.837	-0.046	0.198	0.558	0.201	0.291	0.651	-0.156	0.194	0.613	-0.245	0.291	0.604	0.164	0.183	0.57	0.364	0.097	0.577	0.892	0.255	0.55	6.01	0.042	0.63	-1.002	0.255	0.55	6.01	0.042	0.63	-1.002	9.5	0.86	0.95	Yes	N/A
Carnivora	Feliformes	Felidae	Leopardus pardalis	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	63.43	11.9	0.86	No	Solitary
Carnivora	Feliformes	Felidae	Oncifelis geoffroyi	-1.8	-1.8	0.366	3.205	0.185	0.546	0.024	-0.054	0.292	3.619	0.24	0.55	0.006	0.024	0.264	3.696	-0.148	0.572	0.014	0.626	0.249	3.681	-0.022	0.559	0.08	0.111	0.241	3.641	1.388	0.566	0.108	-1.585	0.205	3.664	-0.639	0.626	0.061	2.023	34	3.59	1.15	No	Solitary
