Order	Suborder	Family	Species	MYA	Actual MYA	5Mya_SD_oxy	5Mya_M_oxy	5Mya_slope_oxy	5Mya_SD_carbon	5Mya_M_carbon	5Mya_slope_carbon	1Mya_SD_oxy	1Mya_M_oxy	1Mya_slope_oxy	1Mya_SD_carbon	1Mya_M_carbon	1Mya_slope_carbon	400k_SD_oxy	400k_M_oxy	400k_slope_oxy	400k_SD_carbon	400k_M_carbon	400k_slope_carbon	200K_SD_oxy	200K_M_oxy	200K_slope_oxy	200K_SD_carbon	200K_M_carbon	200K_slope_carbon	100k_SD_oxy	100k_M_oxy	100k_slope_oxy	100k_SD_carbon	100k_M_carbon	100k_slope_carbon	40k_SD_oxy	40k_M_oxy	40k_slope_oxy	40k_SD_carbon	40k_M_carbon	40k_slope_carbon	CC	Fossil
Carnivora	Feliformes	Felidae	Puma concolor	-3.25	-3.25	0.24	2.998	0.079	0.575	0.075	-0.221	0.219	3.096	0.213	0.298	-0.118	-0.052	0.237	3.156	0.551	0.303	-0.127	0.516	0.239	3.244	0.167	0.336	-0.119	2.857	0.268	3.265	-4.11	0.392	0.02	5.84	0.221	3.066	-0.676	0.29	0.213	-2.389	125.21	No
Carnivora	Feliformes	Felidae	Lynx issiodorensis	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	96.18	Yes
Carnivora	Feliformes	Felidae	Lynx lynx	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	70.11	No
Carnivora	Feliformes	Felidae	Lynx rufus	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	57.97	No
Carnivora	Feliformes	Felidae	Lynx shansius	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	68.32	Yes
Carnivora	Feliformes	Felidae	Neofelis nebulosa	-3.5	-3.5	0.23	2.978	0.065	0.591	0.102	-0.248	0.194	3.034	0.155	0.297	-0.111	-0.094	0.199	3.067	0.141	0.201	-0.155	0.192	0.204	3.099	-1.082	0.216	-0.153	0.642	0.129	3.046	-1.77	0.191	-0.114	-0.748	0.102	2.981	2.661	0.231	-0.122	5.486	68.71	No
Carnivora	Cynoidea	Canidae	Nyctereutes donnezani	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	53.45	Yes
Carnivora	Cynoidea	Canidae	Nyctereutes  procyonoides	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	28.5	No
Carnivora	Feliformes	Felidae	Acinonyx jubatus	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	111.05	No
Carnivora	Feliformes	Felidae	Caracal caracal	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	55.15	No
Carnivora	Feliformes	Felidae	Leptailurus serval	-4	-4	0.232	2.959	0.063	0.629	0.155	-0.295	0.205	3.037	-0.046	0.41	-0.164	0.229	0.186	3.01	0.481	0.372	-0.043	0.399	0.189	3.053	1.184	0.358	0.006	-0.372	0.174	3.132	0.949	0.259	-0.011	-2.325	0.228	3.125	7.413	0.212	-0.068	-9.519	56.8	No
Carnivora	Arctoidea	Mephitidae	Conepatus chinga	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	14.78	No
Carnivora	Arctoidea	Mephitidae	Conepatus humboldtii	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	12.57	No
Carnivora	Arctoidea	Mephitidae	Conepatus leuconotus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	14.44	No
Carnivora	Arctoidea	Mephitidae	Conepatus mesoleucus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	15.5	No
Carnivora	Arctoidea	Mephitidae	Conepatus  sanmiguelensis	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	16.55	No
Carnivora	Arctoidea	Mephitidae	Conepatus semistriatus	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	18.92	No
Carnivora	Arctoidea	Mephitidae	Mephitis macroura	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	10.07	No
Carnivora	Arctoidea	Mephitidae	Mephitis mephitis	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	10.28	No
Carnivora	Arctoidea	Mephitidae	Spilogale putorius	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	5	No
Carnivora	Cynoidea	Canidae	Cerdocyon thous	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	41.8	No
Carnivora	Feliformes	Felidae	Herpailurus yagourundi	-4.5	-4.5	0.241	2.939	0.065	0.679	0.252	-0.315	0.245	2.976	0.367	0.591	-0.041	-0.672	0.207	3.088	-0.133	0.379	-0.261	-0.145	0.169	3.08	-0.375	0.392	-0.306	0.422	0.16	3.067	-1.52	0.384	-0.29	1.296	0.174	2.993	0.366	0.375	-0.254	-2.891	40.04	No
Carnivora	Feliformes	Felidae	Uncia uncia	-4.9	-4.9	0.237	2.891	0.051	0.68	0.387	-0.273	0.232	2.949	-0.18	0.637	0.042	0.214	0.208	2.901	0.493	0.68	0.078	-0.894	0.218	2.952	1.079	0.632	0.017	-2.536	0.223	2.985	2.933	0.526	-0.105	-5.174	0.171	3.089	-2.145	0.34	-0.295	5.196	101.49	No
Carnivora	Arctoidea	Ursidae	Helarctos malayanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	345.25	No
Carnivora	Arctoidea	Ursidae	Melursus ursinus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	304.9	No
Carnivora	Arctoidea	Ursidae	Ursus americanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	259.82	No
Carnivora	Arctoidea	Ursidae	Ursus arctos	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	338.3	No
Carnivora	Arctoidea	Ursidae	Ursus deningeri	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	378	Yes
Carnivora	Arctoidea	Ursidae	Ursus maritimus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	459.44	No
Carnivora	Arctoidea	Ursidae	Ursus spelaeus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	652.59	Yes
Carnivora	Arctoidea	Ursidae	Ursus thibetanus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	314.19	No
Carnivora	Cynoidea	Canidae	Urocyon  cinereoargenteus	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	40.85	No
Carnivora	Cynoidea	Canidae	Urocyon littoralis	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	27.66	No
Carnivora	Feliformes	Hyaenidae	Hyaena hyaena	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	97.51	No
Carnivora	Feliformes	Hyaenidae	Hyaena_brunnea	-5	-5	0.238	2.885	0.05	0.678	0.415	-0.267	0.233	2.953	-0.289	0.637	0.067	0.296	0.189	2.855	0.226	0.696	0.191	-0.474	0.205	2.88	0.176	0.734	0.108	0.999	0.213	2.892	-0.786	0.722	0.19	3.54	0.254	2.848	0.378	0.662	0.278	7.135	106.7	No
Carnivora	Arctoidea	Mustelidae	Mellivora capensis	-5.3	-5.3	0.244	2.884	0.062	0.663	0.467	-0.271	0.233	2.971	-0.095	0.612	0.098	-0.196	0.252	2.92	-0.775	0.605	0.145	0.738	0.271	2.825	-0.068	0.625	0.213	1.79	0.169	2.825	0.263	0.615	0.31	2.044	0.169	2.81	2.967	0.531	0.37	-0.307	72.97	No
Carnivora	Feliformes	Felidae	Dinofelis pivateau	-5.3	-5.3	0.244	2.884	0.062	0.663	0.467	-0.271	0.233	2.971	-0.095	0.612	0.098	-0.196	0.252	2.92	-0.775	0.605	0.145	0.738	0.271	2.825	-0.068	0.625	0.213	1.79	0.169	2.825	0.263	0.615	0.31	2.044	0.169	2.81	2.967	0.531	0.37	-0.307	153.68	Yes
Carnivora	Arctoidea	Ursidae	Arctodus simus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	683.11	Yes
Carnivora	Arctoidea	Ursidae	Tremarctos floridanus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	314.65	Yes
Carnivora	Arctoidea	Ursidae	Tremarctos ornatus	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	195.27	No
Carnivora	Cynoidea	Canidae	Otocyon megalotis	-6	-6	0.225	2.786	0.051	0.483	0.812	-0.155	0.217	2.85	0.264	0.516	0.582	-0.889	0.213	2.893	0.651	0.581	0.406	-2.627	0.197	2.935	0.833	0.585	0.227	-3.706	0.173	2.947	0.856	0.531	0.129	-1.559	0.164	2.978	-0.683	0.505	0.09	3.16	26.84	No
Carnivora	Cynoidea	Canidae	Canis adustus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	51.94	No
Carnivora	Cynoidea	Canidae	Canis armbrusteri	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	153.43	Yes
Carnivora	Cynoidea	Canidae	Canis aureus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	72.24	No
Carnivora	Cynoidea	Canidae	Canis dirus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	177.66	Yes
Carnivora	Cynoidea	Canidae	Canis edwardii	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	75.38	Yes
Carnivora	Cynoidea	Canidae	Canis latrans	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	88.23	No
Carnivora	Cynoidea	Canidae	Canis lupus (Eur)	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	131.6	No
Carnivora	Cynoidea	Canidae	Canis lupus (NA)	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	131.6	No
Carnivora	Cynoidea	Canidae	Canis mesomelas	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	51.42	No
Carnivora	Cynoidea	Canidae	Canis simensis	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	80.67	No
Carnivora	Cynoidea	Canidae	Cuon alpinus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	95	No
Carnivora	Cynoidea	Canidae	Cuon javanicus	-6.5	-6.4987	0.23	2.728	0.052	0.367	0.955	-0.091	0.226	2.789	0.1	0.401	0.744	0.068	0.204	2.801	0.347	0.223	0.821	-0.018	0.181	2.832	-0.046	0.227	0.816	0.528	0.196	2.804	0.73	0.235	0.821	-0.188	0.144	2.793	8.989	0.263	0.849	-10.472	117.19	No
Carnivora	Arctoidea	Mustelidae	Amblonyx cinereus	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	38.08	No
Carnivora	Arctoidea	Mustelidae	Aonyx capensis	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	94.63	No
Carnivora	Arctoidea	Mustelidae	Enhydra lutris	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	125.21	No
Carnivora	Arctoidea	Mustelidae	Lontra canadensis	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	52.98	No
Carnivora	Arctoidea	Mustelidae	Lontra felina	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	38.86	No
Carnivora	Arctoidea	Mustelidae	Lutra lutra	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	42.1	No
Carnivora	Arctoidea	Mustelidae	Lutra maculicollis	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	40.04	No
Carnivora	Arctoidea	Mustelidae	Lutra palaeindica	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	38.87	Yes
Carnivora	Arctoidea	Mustelidae	Lutrogale perspicillata	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	64.72	No
Carnivora	Arctoidea	Mustelidae	Pteronura brasiliensis	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	85.63	No
Carnivora	Feliformes	Hyaenidae	Hyaenictitherium  hyaenoides	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	90.99	Yes
Carnivora	Feliformes	Hyaenidae	Hyaenictitherium  wongi	-7	-6.997	0.243	2.691	0.071	0.373	0.992	-0.084	0.239	2.789	0.298	0.513	0.715	-0.973	0.245	2.807	0.995	0.517	0.641	-2.459	0.208	2.885	-1.506	0.461	0.453	3.358	0.221	2.78	-1.564	0.524	0.645	10.517	0.234	2.747	-8.472	0.218	1.075	11.206	77.43	Yes
Carnivora	Feliformes	Hyaenidae	Adcrocuta eximia	-8.7	-8.6876	0.283	2.471	0.116	0.347	1.246	-0.09	0.191	2.751	0.122	0.202	1.147	0.398	0.137	2.787	0.306	0.17	1.229	0.182	0.123	2.88	-0.672	0.219	1.285	1.978	0.085	2.82	0.581	0.071	1.427	-1.906	0.12	2.815	7.234	0.064	1.395	-3.83	178.25	Yes
Carnivora	Feliformes	Hyaenidae	Thalassictis hipparionum	-8.7	-8.6876	0.283	2.471	0.116	0.347	1.246	-0.09	0.191	2.751	0.122	0.202	1.147	0.398	0.137	2.787	0.306	0.17	1.229	0.182	0.123	2.88	-0.672	0.219	1.285	1.978	0.085	2.82	0.581	0.071	1.427	-1.906	0.12	2.815	7.234	0.064	1.395	-3.83	77.63	Yes
Carnivora	Arctoidea	Mustelidae	Arctonyx collaris	-9	-8.999	0.3	2.444	0.124	0.355	1.266	-0.103	0.194	2.732	0.157	0.193	1.137	0.297	0.177	2.766	0.004	0.172	1.227	0.401	0.168	2.757	0.467	0.146	1.276	-0.599	0.136	2.777	-0.284	0.134	1.234	-1.174	0.158	2.795	-7.479	0.134	1.192	7.146	49.4	No
Carnivora	Arctoidea	Mustelidae	Galictis cuja	-9	-8.999	0.3	2.444	0.124	0.355	1.266	-0.103	0.194	2.732	0.157	0.193	1.137	0.297	0.177	2.766	0.004	0.172	1.227	0.401	0.168	2.757	0.467	0.146	1.276	-0.599	0.136	2.777	-0.284	0.134	1.234	-1.174	0.158	2.795	-7.479	0.134	1.192	7.146	15.03	No
