Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ
Distoechurus pennatus,Diprotodontia,0.97,0.94,45.4,1.01
Wallabia bicolor,Diprotodontia,32.7,31.56,16400,0.42
Phalanger ornatus,Diprotodontia,7.27,7.02,1448,0.57
Petauroides volans,Diprotodontia,4.86,4.69,900,0.54
Cercartetus concinnus,Diprotodontia,0.31,0.3,9.5,1.03
Neurotrichus gibbsii,Eulipotyphla,0.91,0.88,10,2.92
Gerbillus dasyurus,Eulipotyphla,1.32,1.27,20.5,2.48
Scalopus aquaticus,Eulipotyphla,1.48,1.43,39.6,1.7
Scapanus townsendii,Eulipotyphla,2.02,1.95,70,1.52
Condylura cristata,Eulipotyphla,1.37,1.32,50,1.32
Galemys pyrenaicus,Eulipotyphla,1.33,1.28,57.5,1.16
Desmana moschata,Eulipotyphla,4,3.86,440,0.76
Talpa europaea,Eulipotyphla,1.4,1.35,77.83,0.97
Solenodon paradoxus,Eulipotyphla,4.67,4.51,900,0.52
Sorex trowbridgii,Eulipotyphla,0.21,0.2,5.3,1.08
Sorex arcticus,Eulipotyphla,0.27,0.26,8.2,1
Sorex monticolus,Eulipotyphla,0.23,0.22,6.3,1.04
Atelerix albiventris,Eulipotyphla,2.24,2.16,280,0.6
Sorex cinereus,Eulipotyphla,0.17,0.16,3.9,1.1
Erinaceus europaeus,Eulipotyphla,3.67,3.54,720.44,0.48
Sorex palustris,Eulipotyphla,0.31,0.3,11.9,0.87
Surdisorex polulus,Eulipotyphla,0.4,0.39,18.6,0.81
Hemiechinus auritus,Eulipotyphla,1.9,1.83,250,0.55
Sorex vagrans,Eulipotyphla,0.17,0.16,5.3,0.87
Sorex araneus,Eulipotyphla,0.23,0.22,8.9,0.79
Atelerix algirus,Eulipotyphla,3.2,3.09,790,0.39
Neomys fodiens,Eulipotyphla,0.31,0.29,16.35,0.68
Sorex fumeus,Eulipotyphla,0.21,0.2,8.9,0.73
Sorex minutus,Eulipotyphla,0.13,0.13,4.6,0.74
Blarina brevicauda,Eulipotyphla,0.29,0.28,17.7,0.6
Notiosorex crawfordi,Eulipotyphla,0.15,0.14,6,0.7
Sorex hoyi,Eulipotyphla,0.09,0.09,3.05,0.73
Crocidura russula,Eulipotyphla,0.19,0.18,10.45,0.59
Crocidura fuscomurina,Eulipotyphla,0.13,0.13,5.6,0.64
Suncus murinus,Eulipotyphla,0.39,0.38,35,0.49
Sorex ornatus,Eulipotyphla,0.12,0.12,5,0.65
Cryptotis parva,Eulipotyphla,0.12,0.12,5.3,0.62
Suncus etruscus,Eulipotyphla,0.07,0.07,2.24,0.69
Procavia capensis,Hyracoidea,19.47,18.79,2321.67,1.07
Lepus europaeus,Lagomorpha,14.35,13.85,1954,0.9
Sylvilagus bachmani,Lagomorpha,6.58,6.35,712.4,0.87
Lepus californicus,Lagomorpha,13.23,12.77,2314.9,0.73
Ochotona hyperborea,Lagomorpha,2.22,2.14,120,1.11
Lepus nigricollis,Lagomorpha,11.49,11.09,1961,0.72
Lepus americanus,Lagomorpha,9.72,9.38,1500,0.74
Lepus timidus,Lagomorpha,15.1,14.57,3274.5,0.64
Sylvilagus floridanus,Lagomorpha,7.56,7.3,1036,0.76
Sylvilagus brasiliensis,Lagomorpha,4.5,4.34,439,0.86
Oryctolagus cuniculus,Lagomorpha,11.09,10.71,2157.6,0.65
Sylvilagus audubonii,Lagomorpha,6.07,5.86,792.5,0.75
Ochotona princeps,Lagomorpha,2.39,2.31,169,0.93
Lepus arcticus,Lagomorpha,15.8,15.25,4231,0.56
Lepus capensis,Lagomorpha,10.78,10.41,2412.5,0.58
Ochotona rufescens,Lagomorpha,2.75,2.65,250,0.8
Rhynchocyon petersi,Macroscelidea,5.4,5.21,370,1.17
Rhynchocyon cirnei,Macroscelidea,5.9,5.69,507.5,1.01
Elephantulus fuscipes,Macroscelidea,1.33,1.28,57,1.16
